Species,Barcode,State,Variegation,Long_petiole_hair,Short_petiole_hair,Upper_lamina_hair,Tooth_length,Tooth_Width,Flower_length,Hypanthium_long,Hypanthium_short,Flower_width,Stamen_length,Style_length,Pedicel_lengths,Cymule_branches,Thyrse_length
Heuchera americana var. americana,E8,Alabama,None,0.000,0.000,0.000,0.816,3.900,2.916,0.773,0.715,3.050,3.692,3.155,5.317,28.400,589.418
Heuchera americana var. americana,E8,Alabama,Medium,0.000,0.000,0.000,0.532,2.441,2.965,1.079,0.830,3.118,2.414,2.050,5.642,27.811,
Heuchera americana var. americana,E8,Alabama,None,0.000,0.000,0.000,1.558,5.374,2.639,0.855,0.750,2.560,3.712,2.681,4.326,24.450,
Heuchera americana var. americana,E9,Alabama,Low,0.000,0.000,0.000,2.399,5.684,2.143,0.628,0.535,2.224,2.732,3.362,5.567,20.313,776.406
Heuchera americana var. americana,E9,Alabama,Low,0.000,0.000,0.000,1.599,4.380,2.812,1.222,1.151,1.487,2.125,3.250,4.221,21.191,609.138
Heuchera americana var. americana,E9,Alabama,None,0.000,0.000,0.000,0.700,3.184,2.320,1.066,0.950,1.176,3.186,3.021,2.128,16.477,
Heuchera americana var. americana,E15,Alabama,Low,0.000,0.000,0.000,1.204,2.905,2.737,1.214,1.154,2.149,3.390,4.275,5.123,18.311,515.978
Heuchera americana var. americana,E15,Alabama,None,0.000,0.000,0.000,0.972,2.635,2.447,0.864,0.612,1.794,3.590,3.226,2.747,19.195,481.688
Heuchera americana var. americana,E15,Alabama,None,0.000,0.000,0.000,1.063,2.983,2.779,1.033,0.969,2.377,3.578,3.782,6.169,18.229,
Heuchera americana var. americana,E1450,Georgia,None,0.000,0.000,0.000,2.398,5.669,3.181,1.999,1.727,2.055,3.272,4.220,5.553,13.609,
Heuchera americana var. americana,E1450,Georgia,None,0.000,0.000,0.000,2.493,4.222,3.004,1.611,1.437,2.287,3.395,2.990,4.453,14.900,
Heuchera americana var. americana,E1450,Georgia,None,0.000,0.000,0.000,2.280,4.563,3.153,1.442,1.096,2.079,2.682,2.972,3.152,13.273,527.683
