Species,Barcode,State,Variegation,Long_petiole_hair,Short_petiole_hair,Upper_lamina_hair,Tooth_length,Tooth_Width,Flower_length,Hypanthium_long,Hypanthium_short,Flower_width,Stamen_length,Style_length,Pedicel_lengths,Cymule_branches,Thyrse_length
CALYCOSA,E8,Alabama,None,0.000,0.000,0.000,3.900,0.816,2.916,0.773,0.715,3.050,3.692,3.155,5.317,28.400,589.418
CALYCOSA,E8,Alabama,Medium,0.000,0.000,0.000,2.441,0.532,2.965,1.079,0.830,3.118,2.414,2.050,5.642,27.811,
CALYCOSA,E8,Alabama,None,0.000,0.000,0.000,5.374,1.558,2.639,0.855,0.750,2.560,3.712,2.681,4.326,24.450,
CALYCOSA,E9,Alabama,Low,0.000,0.000,0.000,5.684,2.399,2.143,0.628,0.535,2.224,2.732,3.362,5.567,20.313,776.406
CALYCOSA,E9,Alabama,Low,0.000,0.000,0.000,4.380,1.599,2.812,1.222,1.151,1.487,2.125,3.250,4.221,21.191,609.138
CALYCOSA,E9,Alabama,None,0.000,0.000,0.000,3.184,0.700,2.320,1.066,0.950,1.176,3.186,3.021,2.128,16.477,
CALYCOSA,E15,Alabama,Low,0.000,0.000,0.000,2.905,1.204,2.737,1.214,1.154,2.149,3.390,4.275,5.123,18.311,515.978
CALYCOSA,E15,Alabama,None,0.000,0.000,0.000,2.635,0.972,2.447,0.864,0.612,1.794,3.590,3.226,2.747,19.195,481.688
CALYCOSA,E15,Alabama,None,0.000,0.000,0.000,2.983,1.063,2.779,1.033,0.969,2.377,3.578,3.782,6.169,18.229,
CALYCOSA,E1450,Georgia,None,0.000,0.000,0.000,5.669,2.398,3.181,1.999,1.727,2.055,3.272,4.220,5.553,13.609,
CALYCOSA,E1450,Georgia,None,0.000,0.000,0.000,4.222,2.493,3.004,1.611,1.437,2.287,3.395,2.990,4.453,14.900,
CALYCOSA,E1450,Georgia,None,0.000,0.000,0.000,4.563,2.280,3.153,1.442,1.096,2.079,2.682,2.972,3.152,13.273,527.683
