accession	species	hirsuticaulis_blue	fumosimontana	hirsuticaulis_red	americana_green	calycosa_yellow	grayana_orange	alba_lavender	caroliniana	brevipetala_brown	richardsonii	brevipetala_pink
A1-1	CALYCOSA	0.000013	0.135848	0.000013	0.000013	0.864039	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013
A1-2	CALYCOSA	0.000013	0.000013	0.000013	0.000013	0.999874	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013
A1-3	CALYCOSA	0.000013	0.225333	0.000013	0.000013	0.774554	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013
A1-4	CALYCOSA	0.000013	0.250428	0.000013	0.000013	0.74946	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013
A10-1	BREVIPETALA	0.000013	0.034578	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.96531
A10-2	BREVIPETALA	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.999874
A10-3	BREVIPETALA	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.999874
A10-4	BREVIPETALA	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.999867
A10-5	BREVIPETALA	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.999874
A10-6	BREVIPETALA	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.999874
A10-7	BREVIPETALA	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.99987
A10-8	BREVIPETALA	0.000013	0.000013	0.000013	0.000013	0.020608	0.000013	0.000013	0.000013	0.000013	0.000013	0.979279
A11-1	BREVIPETALA	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.999875
A11-2	BREVIPETALA	0.000014	0.000014	0.000014	0.000014	0.000014	0.000014	0.000014	0.000014	0.000014	0.000014	0.999863
A11-3	BREVIPETALA	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.000013	0.108705	0.000013	0.891181
A11-4	BREVIPETALA	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.000015	0.999855
