Accession,Species,Collector + number,Provider acronym,Provider identifier,Country,State,County,Latitude,Longitude,STRUCTURE assignment
E1490,Heuchera americana var. americana,Wells 3292,NCU,NCU00181097,USA,VA,Botetourt,37.5520825,-79.8029569,alba_lavender
E1492,Heuchera americana var. americana,Ramsey 7535,NCU,NCU00181099,USA,VA,Buckingham,36.7788996,-77.8670883,alba_lavender
E1493,Heuchera americana var. americana,Howell 16501,NCU,NCU00181100,USA,VA,Buckingham,37.5558826,-78.5547172,alba_lavender
E1494,Heuchera americana var. americana,Ware 4210,NCU,NCU00181101,USA,VA,Charles City,37.5558826,-78.5547172,alba_lavender
E1495,Heuchera americana var. americana,Bradley 6826,NCU,NCU00181104,USA,VA,Fairfax,37.3705777,-77.0605098,alba_lavender
E1496,Heuchera americana var. americana,Diggs 226,NCU,NCU00181105,USA,VA,Fluvanna,38.8462236,-77.3063733,alba_lavender
E1498,Heuchera americana var. americana,Wells 3363,NCU,NCU00181107,USA,VA,Giles,37.0527719,-79.8813093,alba_lavender
E1499,Heuchera americana var. americana,Kimsey 122,NCU,NCU00181108,USA,VA,Goochland,37.3088528,-80.7098781,alba_lavender
E1501,Heuchera americana var. americana,Ramsey 4173,NCU,NCU00181109,USA,VA,Halifax,36.747244,-78.9425634,alba_lavender
E1503,Heuchera americana var. americana,Wells 3291,NCU,NCU00181113,USA,VA,Hanover,36.747244,-78.9425634,alba_lavender
E1505,Heuchera americana var. americana,Wells 3294,NCU,NCU00181116,USA,VA,Isle of Wright,37.034167,-76.619444,alba_lavender
E1507,Heuchera americana var. americana,Gillespie 635,NCU,NCU00181122,USA,VA,New Kent,37.581311,-77.062158,alba_lavender
E1508,Heuchera americana var. americana,Mikula 5348,NCU,NCU00181123,USA,VA,Page,37.4974701,-76.9990453,alba_lavender
E1510,Heuchera americana var. americana,Corcoran 296,NCU,NCU00181126,USA,VA,Powhatan,36.6818706,-80.284636,alba_lavender
E1512,Heuchera americana var. americana,Wells 3295,NCU,NCU00181128,USA,VA,Surry,37.1118778,-76.895924,alba_lavender
E1514,Heuchera americana var. americana,Salle 324,NCU,NCU00181130,USA,VA,York,36.740236,-81.9421666,alba_lavender
E1522,Heuchera americana var. americana,Hickey 348,NCU,NCU00181136,USA,MD,Frederick,39.2908816,-76.610759,alba_lavender
E1546,Heuchera americana var. hispida,Sharp 319,NCU,NCU00045132,USA,VA,Augusta,,,alba_lavender
E1547,Heuchera americana var. hispida,Freer 3943,NCU,NCU00045133,USA,VA,Augusta,38.1793809,-79.1525761,alba_lavender
E1548,Heuchera americana var. hispida,Freer 1564,NCU,NCU00045134,USA,VA,Bedford,38.1793809,-79.1525761,alba_lavender
E1549,Heuchera americana var. hispida,Furr 497,NCU,NCU00045135,USA,VA,Botetourt,37.545183,-79.971503,alba_lavender
E1550,Heuchera americana var. hispida,Furr 484,NCU,NCU00045136,USA,VA,Botetourt,37.544884,-79.971284,alba_lavender
E1551,Heuchera americana var. hispida,Fernald 1596,NCU,NCU00045137,USA,VA,Botetourt,37.482975,-79.668629,alba_lavender
E1552,Heuchera americana var. hispida,Wells 3313,NCU,NCU00045138,USA,VA,Craig,37.534587,-80.235484,alba_lavender
E1553,Heuchera americana var. hispida,Furr 480,NCU,NCU00045139,USA,VA,Craig,37.542294,-79.969289,alba_lavender
E1554,Heuchera americana var. hispida,Furr 474,NCU,NCU00045140,USA,VA,Craig,37.48337,-80.130283,alba_lavender
E1556,Heuchera americana var. hispida,Hawill 14127,NCU,NCU00045142,USA,VA,Craig,37.357343,-80.439593,alba_lavender
E1557,Heuchera americana var. hispida,Wells 3293,NCU,NCU00045143,USA,VA,Fauquier,38.825515,-77.719505,alba_lavender
E1558,Heuchera americana var. hispida,Massey W3315,NCU,NCU00045144,USA,VA,Giles,37.605918,-80.240697,alba_lavender
E1563,Heuchera americana var. hispida,Harvill 19416,NCU,NCU00045149,USA,VA,Loudoun,39.319112,-77.710924,alba_lavender
E1565,Heuchera americana var. hispida,Smyth 1055,NCU,NCU00045151,USA,VA,Montgomery,38.1803833,-81.3284452,alba_lavender
E1566,Heuchera americana var. hispida,Ahles 62433,NCU,NCU00045153,USA,VA,Pittsylvania,37.067349,-79.105487,alba_lavender
E1568,Heuchera americana var. hispida,Wood 5819,NCU,NCU00045155,USA,VA,Roanoke,37.140928,-80.118981,alba_lavender
E1573,Heuchera americana var. hispida,Downs 3488,NCU,NCU00196809,USA,MD,Washington,39.346451,-77.726568,alba_lavender
E1574,Heuchera americana var. hispida,Wells 3314,NCU,NCU00053746,USA,WV,Greenbrier,37.806692,80.06763,alba_lavender
E1575,Heuchera americana var. hispida,Wells 3312,NCU,NCU00053747,USA,WV,Monroe,37.961175,-80.450934,alba_lavender
E1576,Heuchera americana var. hispida,Southern Appalachian Botanical Club 320,NCU,NCU00053748,USA,WV,Pocahontas,37.5585821,-80.5192225,alba_lavender
E1596,Heuchera pubescens,Gupton 3549,NCU,NCU00190348,USA,VA,Bath,38.038103,79.763563,alba_lavender
E1598,Heuchera pubescens,Wells 3316,NCU,NCU00190350,USA,VA,Craig,37.546354,-79.976945,alba_lavender
E1599,Heuchera pubescens,Ramsey 4693,NCU,NCU00190352,USA,VA,Franklin,36.999573,-79.878086,alba_lavender
E1600,Heuchera pubescens,Mitchell 4107,NCU,NCU00190353,USA,VA,Franklin,37.007717,-79.889332,alba_lavender
E1601,Heuchera pubescens,Kral 10306,NCU,NCU00190354,USA,VA,Montgomery,37.215641,-80.268486,alba_lavender
E1602,Heuchera pubescens,Johnson 4565,NCU,NCU00190355,USA,VA,Patrick,36.720388,-80.327535,alba_lavender
E1603,Heuchera pubescens,Ahles 60159,NCU,NCU00190356,USA,VA,Patrick,36.717451,-80.323062,alba_lavender
E1677,Heuchera americana var. hispida,Kral 63868,NCU,NCU00386386,USA,VA,Montgomery,37.191354,-80.36668,alba_lavender
E306-2,Heuchera alba,USDA GRIN: Ames 34945,Sent directly,,USA,WV,Grant,39.0034,-79.2204,alba_lavender
I173,Heuchera alba,Vanderhorst 7485,MISSA,,USA,WV,Grant,38.927459,-79.237163,alba_lavender
I174,Heuchera alba,Byers 1570,MISSA,,USA,WV,Grant,39.000504,-79.081646,alba_lavender
I175,Heuchera alba,Streets 3790,MISSA,,USA,WV,Pocahontas,38.202504,-80.194893,alba_lavender
I176,Heuchera alba,Streets 3004,MISSA,,USA,WV,Pendleton,38.505711,-79.209617,alba_lavender
I177,Heuchera alba,Streets 5990,MISSA,,USA,WV,Pocahontas,38.365892,-79.93746,alba_lavender
I178,Heuchera alba,Streets 4090,MISSA,,USA,WV,Grant,38.984892,-79.218757,alba_lavender
I179,Heuchera alba,Streets 4768,MISSA,,USA,WV,Pendleton,38.636815,-79.394064,alba_lavender
I180,Heuchera alba,Streets 4778,MISSA,,USA,WV,Pendleton,38.666659,-79.235843,alba_lavender
I67,Heuchera alba,Folk I67,OS,,USA,WV,Highland,38.594238,-79.18181,alba_lavender
A57,Heuchera americana var. americana,Engle-Wrye A57,MISSA,,USA,NC,Swain,35.4648505,-83.4335309,americana_green
A58-1,Heuchera americana var. americana,Engle-Wrye A58,MISSA,,USA,NC,Jackson,35.248278,-83.086306,americana_green
A58-2,Heuchera americana var. americana,Engle-Wrye A58,MISSA,,USA,NC,Jackson,35.248278,-83.086306,americana_green
A58-3,Heuchera americana var. americana,Engle-Wrye A58,MISSA,,USA,NC,Jackson,35.248278,-83.086306,americana_green
A58-4,Heuchera americana var. americana,Engle-Wrye A58,MISSA,,USA,NC,Jackson,35.248278,-83.086306,americana_green
A59-1,Heuchera americana var. americana,Engle-Wrye A59,MISSA,,USA,NC,McDowell,35.735357,-82.116329,americana_green
A59-2,Heuchera americana var. americana,Engle-Wrye A59,MISSA,,USA,NC,McDowell,35.735357,-82.116329,americana_green
A59-3,Heuchera americana var. americana,Engle-Wrye A59,MISSA,,USA,NC,McDowell,35.735357,-82.116329,americana_green
A59-4,Heuchera americana var. americana,Engle-Wrye A59,MISSA,,USA,NC,McDowell,35.735357,-82.116329,americana_green
A59-5,Heuchera americana var. americana,Engle-Wrye A59,MISSA,,USA,NC,McDowell,35.735357,-82.116329,americana_green
A59-6,Heuchera americana var. americana,Engle-Wrye A59,MISSA,,USA,NC,McDowell,35.735357,-82.116329,americana_green
A59-7,Heuchera americana var. americana,Engle-Wrye A59,MISSA,,USA,NC,McDowell,35.735357,-82.116329,americana_green
A59-8,Heuchera americana var. americana,Engle-Wrye A59,MISSA,,USA,NC,McDowell,35.735357,-82.116329,americana_green
A59-9,Heuchera americana var. americana,Engle-Wrye A59,MISSA,,USA,NC,McDowell,35.735357,-82.116329,americana_green
A60-1,Heuchera americana var. americana,Engle-Wrye A60,MISSA,,USA,NC,Alexander,35.966166,-81.1144923,americana_green
A60-2,Heuchera americana var. americana,Engle-Wrye A60,MISSA,,USA,NC,Alexander,35.966166,-81.1144923,americana_green
A60-3,Heuchera americana var. americana,Engle-Wrye A60,MISSA,,USA,NC,Alexander,35.966166,-81.1144923,americana_green
A60-4,Heuchera americana var. americana,Engle-Wrye A60,MISSA,,USA,NC,Alexander,35.966166,-81.1144923,americana_green
E1486,Heuchera americana var. americana,Furr 292,NCU,NCU00181093,USA,TN,Swain,35.84857,-84.5225522,americana_green
E1497,Heuchera pubescens,Weiboldt 8150,NCU,NCU00181106,USA,VA,Franklin,36.838161,-79.727771,americana_green
E1513,Heuchera americana var. americana,Fur 439,NCU,NCU00181129,USA,VA,Washington,37.1118778,-76.895924,americana_green
E1559,Heuchera americana var. hispida,Cooperrider 4456,NCU,NCU00045145,USA,VA,Giles,37.270794,-80.694765,americana_green
